City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,geraldton,-28.7667,114.6,77.41,53,75,14.97,AU,1701236996
284,les anglais,18.3054,-74.2197,76.77,82,37,2.98,HT,1701237061
285,chingola,-12.529,27.8838,65.68,91,100,4.27,ZM,1701237062
286,sayat,38.7839,63.8803,48.07,72,100,12.39,TM,1701237063
287,bodo,67.28,14.405,32.04,55,0,20.71,NO,1701237064
288,tamiahua,21.2667,-97.45,60.8,90,100,13.15,MX,1701237065
289,carbondale,37.7273,-89.2168,28.69,72,0,5.75,US,1701236536
290,wanxian,30.8039,108.3897,63.46,71,100,2.95,CN,1701237067
291,santa cruz,-17.8,-63.1667,72.86,94,75,16.11,BO,1701236838
292,cabo san lucas,22.8909,-109.9124,76.75,81,3,11.92,MX,1701237019
293,ejido,8.5514,-71.2375,63.64,84,8,7.54,VE,1701237074
294,amga,60.8953,131.9608,-7.26,96,100,3.96,RU,1701237078
295,codrington,-38.2667,141.9667,59.27,85,100,22.32,AU,1701236893
296,t'q'ibuli,42.3512,42.9987,40.12,53,89,14.65,GE,1701237082
297,kharp,66.8014,65.8081,18.36,95,100,7.56,RU,1701237083
298,dudinka,69.4058,86.1778,-17.66,100,39,1.41,RU,1701237084
299,tolanaro,-25.0319,46.9987,86.07,58,0,13.8,MG,1701236928
300,tofol,5.3248,163.0078,78.58,89,100,3.44,FM,1701237086
301,bel ombre,-4.6167,55.4167,85.84,70,40,5.75,SC,1701237088
302,yung shue wan,22.2333,114.1167,77.61,68,92,3.0,HK,1701237089
303,kulp,38.4972,41.0122,41.25,34,70,1.1,TR,1701237090
304,gidole,5.65,37.3667,62.89,52,67,6.55,ET,1701237095
305,zugdidi,42.5088,41.8709,45.14,54,98,8.95,GE,1701237097
306,nejo,9.5,35.5,67.57,60,78,1.41,ET,1701237098
307,hede,33.7681,120.2517,53.37,57,100,16.37,CN,1701237099
308,mahdia,35.5047,11.0622,58.95,59,100,8.25,TN,1701237099
309,sitka,57.0531,-135.33,35.49,80,0,0.0,US,1701237100
310,cabedelo,-6.9811,-34.8339,74.07,73,97,9.26,BR,1701237101
311,broken hill,-31.95,141.4333,80.58,31,9,18.54,AU,1701236862
312,west side highway,46.184,-122.9172,37.02,86,0,5.01,US,1701237110
313,reyes,-14.3167,-67.3833,73.06,91,97,2.15,BO,1701237112
314,ratnagiri,16.9833,73.3,82.99,67,78,9.13,IN,1701237117
315,beau vallon,-20.4189,57.6953,83.21,78,40,8.05,MU,1701237120
316,inari,68.906,27.0288,26.8,97,94,9.84,FI,1701237126
317,el matama,16.7095,33.3565,78.76,52,3,14.27,SD,1701237129
318,weligama,5.9667,80.4167,78.91,81,99,4.36,LK,1701237130
319,tura,25.5198,90.2201,78.78,50,44,3.83,IN,1701237131
320,qamdo,31.1667,97.2333,35.56,22,67,3.53,CN,1701236927
321,kinablangan,7.6947,126.5503,82.8,79,87,4.47,PH,1701237139
322,makokou,0.5738,12.8642,69.64,98,98,2.59,GA,1701237143
323,prince rupert,54.3161,-130.3201,42.49,100,100,5.75,CA,1701237144
324,chita,52.0333,113.55,17.49,32,37,6.71,RU,1701237144
325,alofi,-19.0595,-169.9187,82.29,74,21,6.91,NU,1701237151
326,enewetak,11.3474,162.3373,81.68,79,98,21.79,MH,1701237153
327,port blair,11.6667,92.75,86.04,70,40,11.5,IN,1701237157
328,sao gabriel da cachoeira,-0.1303,-67.0892,71.64,99,87,0.67,BR,1701237162
329,sampit,-2.5333,112.95,89.53,57,100,2.01,ID,1701237164
330,nouadhibou,20.931,-17.0347,64.38,63,1,8.05,MR,1701237165
331,kenai,60.5544,-151.2583,38.08,90,100,6.91,US,1701237166
332,hotan,37.0997,79.9269,47.08,18,66,5.84,CN,1701237167
333,puerto leguizamo,-0.1934,-74.7819,70.97,99,86,1.41,CO,1701237168
334,paramonga,-10.6667,-77.8333,66.45,87,100,8.25,PE,1701237169
335,siocon,7.7061,122.1353,84.63,80,50,4.32,PH,1701237173
336,aioun,16.6614,-9.6149,68.79,17,3,9.1,MR,1701237175
337,belvedere marittimo,39.6179,15.8617,56.12,77,74,13.2,IT,1701237176
338,saint-pierre,-21.3393,55.4781,84.56,65,4,6.91,RE,1701237178
339,mejit,10.2753,170.8646,81.86,74,39,18.7,MH,1701237181
340,yuzhno-kurilsk,44.0306,145.8556,33.62,55,100,32.77,RU,1701237182
341,luganville,-15.5333,167.1667,81.09,81,100,9.55,VU,1701237183
342,nova sintra,14.8667,-24.7167,70.41,74,12,13.18,CV,1701236984
343,lexington park,38.2668,-76.4538,29.88,51,0,11.5,US,1701236950
344,champerico,14.3,-91.9167,79.95,83,92,2.77,GT,1701236895
345,kruisfontein,-34.0033,24.7314,64.74,55,21,19.13,ZA,1701237187
346,glenwood springs,39.5505,-107.3248,25.34,72,31,1.99,US,1701237188
347,lazaro cardenas,17.9583,-102.2,78.28,81,100,4.12,MX,1701237192
348,aranda de duero,41.6704,-3.6892,49.96,92,95,10.87,ES,1701237194
349,lompoc,34.6391,-120.4579,55.58,75,0,6.91,US,1701236898
350,new martinsville,39.6445,-80.8576,25.92,72,55,1.01,US,1701237198
351,zakamensk,50.3741,103.2863,13.68,59,21,3.11,RU,1701237200
352,sabanozu,40.4825,33.2835,43.56,92,100,5.37,TR,1701237203
